Industry,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Agriculture,37700.0,38200.0,36100.0,36100.0,36800.0,42700.0,40700.0,43200.0,40200.0,41100.0
Construction ,96600.0,93200.0,90000.0,91300.0,89300.0,97000.0,92600.0,102700.0,90800.0,101800.0
Finance,33800.0,29800.0,33200.0,31100.0,32400.0,32400.0,30800.0,31000.0,32100.0,35500.0
ICT,27800.0,27900.0,26400.0,27200.0,26900.0,35700.0,24000.0,34400.0,58900.0,31500.0
Other_Service,64200.0,68000.0,72400.0,72800.0,75500.0,73300.0,77200.0,72400.0,83200.0,81800.0
Production ,156700.0,149800.0,158600.0,154400.0,164200.0,173300.0,172300.0,162500.0,165100.0,165700.0
Professional_Service,144800.0,145800.0,143600.0,137300.0,149900.0,152900.0,166200.0,161200.0,176400.0,187100.0
Public_Adminstration,415600.0,418600.0,425600.0,421000.0,427000.0,427600.0,423200.0,418500.0,424500.0,434900.0
Real_Estate,13500.0,14600.0,17600.0,18800.0,18000.0,22200.0,19100.0,22700.0,18200.0,25200.0
Retail,345400.0,344500.0,343100.0,347300.0,345100.0,337300.0,357700.0,360200.0,333500.0,347600.0
